dataset_name,embed_size,n_layers,batch_size,decay,epochs,eval_epoch,learning_rate,top_k,create_time,result,eval_ndcg,eval_map,eval_precision,eval_recall,score
1m,512,2,50000,0.001,40,-1,0.1,5,2024-03-28_05-09-33,successful,0.0645528214941856,0.0160980318994272,0.0581125827814569,0.030184311387652,
1m,512,2,50000,0.1,40,-1,0.1,5,2024-03-28_05-12-08,successful,0.0555819933967621,0.0113049058744143,0.0517218543046357,0.0201989824854311,
1m,512,3,4096,0.001,40,-1,0.0025,5,2024-03-28_05-14-43,successful,0.0696498899859353,0.0170855663377624,0.0643708609271523,0.0318884562006225,
1m,512,3,4096,0.1,40,-1,0.0025,5,2024-03-28_05-20-02,successful,0.0560887853938042,0.0114565797924556,0.0521854304635761,0.0205483650017984,
1m,512,3,4096,0.001,40,-1,0.01,5,2024-03-28_05-25-22,successful,0.0704473394424273,0.0175370096778012,0.0644701986754966,0.032462043114016,
1m,512,3,4096,0.1,40,-1,0.01,5,2024-03-28_05-30-42,successful,0.0560851232285163,0.0114654153657343,0.052251655629139,0.0205389336909254,
1m,512,3,4096,0.001,40,-1,0.1,5,2024-03-28_05-35-59,successful,0.0625195987165923,0.0145457612411846,0.0574503311258278,0.0276436316473059,
1m,512,3,4096,0.1,40,-1,0.1,5,2024-03-28_05-41-17,successful,0.0562018255793045,0.011429255185486,0.0523178807947019,0.0205299504527349,
1m,512,3,10000,0.001,40,-1,0.0025,5,2024-03-28_05-46-36,successful,0.0691505848089078,0.0168186805378715,0.06341059602649,0.0313973277829208,
1m,512,3,10000,0.1,40,-1,0.0025,5,2024-03-28_05-49-57,successful,0.056066093192013,0.0114650656171765,0.0522185430463576,0.0205295779027425,
1m,512,3,10000,0.001,40,-1,0.01,5,2024-03-28_05-53-19,successful,0.0696508348805341,0.0172555667472462,0.0637748344370861,0.0327184049060536,
1m,512,3,10000,0.1,40,-1,0.01,5,2024-03-28_05-56-40,successful,0.056300138496566,0.011525457084784,0.0524834437086092,0.0207884091352216,
1m,512,3,10000,0.001,40,-1,0.1,5,2024-03-28_06-00-03,successful,0.0668419656552851,0.0164779063276963,0.0609602649006622,0.0302258533643246,
1m,512,3,10000,0.1,40,-1,0.1,5,2024-03-28_06-03-24,successful,0.0562316799345965,0.0114789263297237,0.0524172185430463,0.0206235675727286,
1m,512,3,50000,0.001,40,-1,0.0025,5,2024-03-28_06-06-45,successful,0.0677030370057138,0.0154221380033991,0.0627152317880794,0.0290317538179028,
1m,512,3,50000,0.1,40,-1,0.0025,5,2024-03-28_06-09-37,successful,0.0561735550793913,0.0114758402705935,0.0523178807947019,0.0205661980790779,
1m,512,3,50000,0.001,40,-1,0.01,5,2024-03-28_06-12-29,successful,0.0696509074748845,0.0172600539926252,0.0632119205298013,0.0320049486577935,
1m,512,3,50000,0.1,40,-1,0.01,5,2024-03-28_06-15-22,successful,0.0561472853440508,0.0114094399646279,0.0523178807947019,0.0204693811719714,
1m,512,3,50000,0.001,40,-1,0.1,5,2024-03-28_06-18-13,successful,0.0690208190920999,0.0172458915416862,0.0630132450331125,0.0322165820932213,
