2024-04-02 10:59:05,939 INFO    wandb-upload_0:32120 [upload_job.py:push():131] Uploaded file C:\Users\ee303\AppData\Local\Temp\tmpl94128amwandb\zr6vhb9c-wandb-metadata.json
2024-04-02 10:59:06,642 DEBUG   HandlerThread:32120 [handler.py:handle_request():146] handle_request: status_report
2024-04-02 10:59:11,676 DEBUG   HandlerThread:32120 [handler.py:handle_request():146] handle_request: status_report
2024-04-02 10:59:12,960 INFO    Thread-16 :32120 [dir_watcher.py:_on_file_created():271] file/dir created: C:\Users\ee303\hanaa\test\wandb\run-20240402_105901-s1042i0a\files\output.log
2024-04-02 10:59:14,986 INFO    Thread-16 :32120 [dir_watcher.py:_on_file_modified():288] file/dir modified: C:\Users\ee303\hanaa\test\wandb\run-20240402_105901-s1042i0a\files\output.log
2024-04-02 10:59:17,423 DEBUG   HandlerThread:32120 [handler.py:handle_request():146] handle_request: status_report
2024-04-02 10:59:20,193 DEBUG   HandlerThread:32120 [handler.py:handle_request():146] handle_request: internal_messages
2024-04-02 10:59:20,208 DEBUG   HandlerThread:32120 [handler.py:handle_request():146] handle_request: stop_status
2024-04-02 10:59:20,208 DEBUG   SenderThread:32120 [sender.py:send_request():406] send_request: stop_status
2024-04-02 10:59:21,025 INFO    Thread-16 :32120 [dir_watcher.py:_on_file_modified():288] file/dir modified: C:\Users\ee303\hanaa\test\wandb\run-20240402_105901-s1042i0a\files\output.log
2024-04-02 10:59:22,425 DEBUG   HandlerThread:32120 [handler.py:handle_request():146] handle_request: status_report
2024-04-02 10:59:26,980 DEBUG   SenderThread:32120 [sender.py:send():379] send: exit
2024-04-02 10:59:26,980 INFO    SenderThread:32120 [sender.py:send_exit():586] handling exit code: 0
2024-04-02 10:59:26,980 INFO    SenderThread:32120 [sender.py:send_exit():588] handling runtime: 24
2024-04-02 10:59:26,980 INFO    SenderThread:32120 [sender.py:_save_file():1390] saving file wandb-summary.json with policy end
2024-04-02 10:59:26,980 INFO    SenderThread:32120 [sender.py:send_exit():594] send defer
2024-04-02 10:59:26,981 DEBUG   HandlerThread:32120 [handler.py:handle_request():146] handle_request: defer
2024-04-02 10:59:26,981 INFO    HandlerThread:32120 [handler.py:handle_request_defer():172] handle defer: 0
2024-04-02 10:59:26,981 DEBUG   SenderThread:32120 [sender.py:send_request():406] send_request: defer
2024-04-02 10:59:26,981 INFO    SenderThread:32120 [sender.py:send_request_defer():610] handle sender defer: 0
2024-04-02 10:59:26,981 INFO    SenderThread:32120 [sender.py:transition_state():614] send defer: 1
2024-04-02 10:59:26,981 DEBUG   HandlerThread:32120 [handler.py:handle_request():146] handle_request: defer
2024-04-02 10:59:26,981 INFO    HandlerThread:32120 [handler.py:handle_request_defer():172] handle defer: 1
2024-04-02 10:59:26,981 DEBUG   SenderThread:32120 [sender.py:send_request():406] send_request: defer
2024-04-02 10:59:26,981 INFO    SenderThread:32120 [sender.py:send_request_defer():610] handle sender defer: 1
2024-04-02 10:59:26,981 INFO    SenderThread:32120 [sender.py:transition_state():614] send defer: 2
2024-04-02 10:59:26,981 DEBUG   HandlerThread:32120 [handler.py:handle_request():146] handle_request: defer
2024-04-02 10:59:26,981 INFO    HandlerThread:32120 [handler.py:handle_request_defer():172] handle defer: 2
2024-04-02 10:59:26,981 INFO    HandlerThread:32120 [system_monitor.py:finish():203] Stopping system monitor
2024-04-02 10:59:26,981 DEBUG   SystemMonitor:32120 [system_monitor.py:_start():172] Starting system metrics aggregation loop
2024-04-02 10:59:26,981 INFO    HandlerThread:32120 [interfaces.py:finish():202] Joined cpu monitor
2024-04-02 10:59:26,981 DEBUG   SystemMonitor:32120 [system_monitor.py:_start():179] Finished system metrics aggregation loop
2024-04-02 10:59:26,981 INFO    HandlerThread:32120 [interfaces.py:finish():202] Joined disk monitor
2024-04-02 10:59:26,981 DEBUG   SystemMonitor:32120 [system_monitor.py:_start():183] Publishing last batch of metrics
2024-04-02 10:59:27,020 INFO    HandlerThread:32120 [interfaces.py:finish():202] Joined gpu monitor
2024-04-02 10:59:27,020 INFO    HandlerThread:32120 [interfaces.py:finish():202] Joined memory monitor
2024-04-02 10:59:27,020 INFO    HandlerThread:32120 [interfaces.py:finish():202] Joined network monitor
2024-04-02 10:59:27,020 DEBUG   SenderThread:32120 [sender.py:send_request():406] send_request: defer
2024-04-02 10:59:27,020 INFO    SenderThread:32120 [sender.py:send_request_defer():610] handle sender defer: 2
2024-04-02 10:59:27,020 INFO    SenderThread:32120 [sender.py:transition_state():614] send defer: 3
2024-04-02 10:59:27,020 DEBUG   SenderThread:32120 [sender.py:send():379] send: stats
2024-04-02 10:59:27,020 DEBUG   HandlerThread:32120 [handler.py:handle_request():146] handle_request: defer
2024-04-02 10:59:27,020 INFO    HandlerThread:32120 [handler.py:handle_request_defer():172] handle defer: 3
2024-04-02 10:59:27,020 DEBUG   SenderThread:32120 [sender.py:send_request():406] send_request: defer
2024-04-02 10:59:27,020 INFO    SenderThread:32120 [sender.py:send_request_defer():610] handle sender defer: 3
2024-04-02 10:59:27,020 INFO    SenderThread:32120 [sender.py:transition_state():614] send defer: 4
2024-04-02 10:59:27,020 DEBUG   HandlerThread:32120 [handler.py:handle_request():146] handle_request: defer
2024-04-02 10:59:27,020 INFO    HandlerThread:32120 [handler.py:handle_request_defer():172] handle defer: 4
2024-04-02 10:59:27,020 DEBUG   SenderThread:32120 [sender.py:send_request():406] send_request: defer
2024-04-02 10:59:27,020 INFO    SenderThread:32120 [sender.py:send_request_defer():610] handle sender defer: 4
2024-04-02 10:59:27,020 INFO    SenderThread:32120 [sender.py:transition_state():614] send defer: 5
2024-04-02 10:59:27,020 DEBUG   HandlerThread:32120 [handler.py:handle_request():146] handle_request: defer
2024-04-02 10:59:27,020 INFO    HandlerThread:32120 [handler.py:handle_request_defer():172] handle defer: 5
2024-04-02 10:59:27,020 DEBUG   SenderThread:32120 [sender.py:send():379] send: summary
2024-04-02 10:59:27,020 INFO    SenderThread:32120 [sender.py:_save_file():1390] saving file wandb-summary.json with policy end
