2024-04-03 13:53:21,305 INFO    wandb-upload_0:22332 [upload_job.py:push():131] Uploaded file C:\Users\ee303\AppData\Local\Temp\tmpbrcibmkswandb\ybhlnzbw-wandb-metadata.json
2024-04-03 13:53:22,027 DEBUG   HandlerThread:22332 [handler.py:handle_request():146] handle_request: status_report
2024-04-03 13:53:27,075 DEBUG   HandlerThread:22332 [handler.py:handle_request():146] handle_request: status_report
2024-04-03 13:53:32,140 DEBUG   HandlerThread:22332 [handler.py:handle_request():146] handle_request: status_report
2024-04-03 13:53:35,607 DEBUG   HandlerThread:22332 [handler.py:handle_request():146] handle_request: stop_status
2024-04-03 13:53:35,607 DEBUG   HandlerThread:22332 [handler.py:handle_request():146] handle_request: internal_messages
2024-04-03 13:53:35,607 DEBUG   SenderThread:22332 [sender.py:send_request():406] send_request: stop_status
2024-04-03 13:53:37,813 DEBUG   HandlerThread:22332 [handler.py:handle_request():146] handle_request: status_report
2024-04-03 13:53:38,883 DEBUG   SenderThread:22332 [sender.py:send():379] send: exit
2024-04-03 13:53:38,883 INFO    SenderThread:22332 [sender.py:send_exit():586] handling exit code: 1
2024-04-03 13:53:38,883 INFO    SenderThread:22332 [sender.py:send_exit():588] handling runtime: 20
2024-04-03 13:53:38,883 INFO    SenderThread:22332 [sender.py:_save_file():1390] saving file wandb-summary.json with policy end
2024-04-03 13:53:38,883 INFO    SenderThread:22332 [sender.py:send_exit():594] send defer
2024-04-03 13:53:38,883 DEBUG   HandlerThread:22332 [handler.py:handle_request():146] handle_request: defer
2024-04-03 13:53:38,883 INFO    HandlerThread:22332 [handler.py:handle_request_defer():172] handle defer: 0
2024-04-03 13:53:38,883 DEBUG   SenderThread:22332 [sender.py:send_request():406] send_request: defer
2024-04-03 13:53:38,883 INFO    SenderThread:22332 [sender.py:send_request_defer():610] handle sender defer: 0
2024-04-03 13:53:38,883 INFO    SenderThread:22332 [sender.py:transition_state():614] send defer: 1
2024-04-03 13:53:38,883 DEBUG   HandlerThread:22332 [handler.py:handle_request():146] handle_request: defer
